dataid,devicename,sensor,sensorid,value,dbtimestamp
69277598,NDS016,Soil Potassium,14,173.0,2025-04-29 00:00:51.847923
69277597,NDS016,Soil Phosphorus,13,180.0,2025-04-29 00:00:51.847923
69277592,NDS016,Soil Moisture,9,22.4,2025-04-29 00:00:51.847923
69277593,NDS016,Soil Temperature,8,26.1,2025-04-29 00:00:51.847923
69277596,NDS016,Soil Nitrogen,12,57.0,2025-04-29 00:00:51.847923
69248653,NDS016,Soil Nitrogen,12,60.0,2025-04-28 00:00:48.085663
69248655,NDS016,Soil Potassium,14,179.0,2025-04-28 00:00:48.085663
69248652,NDS016,Soil pH,10,5.6,2025-04-28 00:00:48.085663
69248649,NDS016,Soil Moisture,9,22.9,2025-04-28 00:00:48.085663
69248654,NDS016,Soil Phosphorus,13,186.0,2025-04-28 00:00:48.085663
69248651,NDS016,Soil EC,11,475.0,2025-04-28 00:00:48.085663
69248650,NDS016,Soil Temperature,8,26.9,2025-04-28 00:00:48.085663
69218267,NDS016,Soil pH,10,5.5,2025-04-27 00:00:55.894425
69218269,NDS016,Soil Phosphorus,13,187.0,2025-04-27 00:00:55.894425
69218268,NDS016,Soil Nitrogen,12,61.0,2025-04-27 00:00:55.894425
69218270,NDS016,Soil Potassium,14,181.0,2025-04-27 00:00:55.894425
69218264,NDS016,Soil Moisture,9,24.0,2025-04-27 00:00:55.894425
69218265,NDS016,Soil Temperature,8,26.3,2025-04-27 00:00:55.894425
69218266,NDS016,Soil EC,11,478.0,2025-04-27 00:00:55.894425
69187132,NDS016,Soil Moisture,9,23.1,2025-04-26 00:02:55.403627
69187135,NDS016,Soil pH,10,6.0,2025-04-26 00:02:55.403627
69187136,NDS016,Soil Nitrogen,12,64.0,2025-04-26 00:02:55.403627
69187133,NDS016,Soil Temperature,8,26.7,2025-04-26 00:02:55.403627
69187134,NDS016,Soil EC,11,493.0,2025-04-26 00:02:55.403627
69187137,NDS016,Soil Phosphorus,13,195.0,2025-04-26 00:02:55.403627
69187138,NDS016,Soil Potassium,14,188.0,2025-04-26 00:02:55.403627
69159993,NDS016,Soil Temperature,8,26.5,2025-04-25 00:00:04.126458
69159994,NDS016,Soil EC,11,505.0,2025-04-25 00:00:04.126458
69159997,NDS016,Soil Phosphorus,13,200.0,2025-04-25 00:00:04.126458
69159996,NDS016,Soil Nitrogen,12,66.0,2025-04-25 00:00:04.126458
69159998,NDS016,Soil Potassium,14,194.0,2025-04-25 00:00:04.126458
69159995,NDS016,Soil pH,10,5.8,2025-04-25 00:00:04.126458
