dbtimestamp,devicename,Soil EC,Soil Moisture,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Temperature,Soil pH,NPK Ratio,N Category,P Category,K Category,NPK Level,NPK Done,feeding_description,Feeding Category
2025-02-13 00:00:13.434805,NDS016,1895.0,82.3,357.0,871.0,870.0,27.6,5.6,1.0 : 2.4 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-13 00:00:02.748577,NDS011,979.0,50.0,165.0,429.0,424.0,27.9,7.0,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-13 00:00:00.497052,NDS012,1263.0,45.6,225.0,566.0,562.0,28.2,7.7,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-12 00:00:30.026974,NDS005,1083.0,36.5,187.0,479.0,475.0,26.2,7.8,1.0 : 2.6 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-12 00:00:20.738024,NDS015,738.0,22.9,115.0,313.0,307.0,26.5,3.0,1.0 : 2.7 : 2.7,High,High,High,Invalid,Not Done Composting,,None
2025-02-12 00:00:20.736614,NDS012,1173.0,42.0,206.0,522.0,519.0,26.3,7.7,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-12 00:00:14.079967,NDS016,1251.0,43.2,222.0,560.0,557.0,26.8,4.7,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-12 00:00:13.226705,NDS006,991.0,27.8,168.0,435.0,430.0,26.2,4.7,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-12 00:00:08.842416,NDS004,1377.0,43.4,248.0,621.0,618.0,26.5,8.2,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-12 00:00:01.664134,NDS011,1684.0,65.8,313.0,769.0,767.0,26.2,6.9,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-11 00:00:30.778008,NDS004,1359.0,43.3,245.0,612.0,609.0,26.2,8.3,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-11 00:00:25.230050,NDS016,1263.0,42.6,225.0,566.0,562.0,26.5,3.3,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-11 00:00:16.434651,NDS012,1202.0,42.3,212.0,536.0,533.0,26.1,8.0,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-11 00:00:12.637482,NDS005,1048.0,36.1,180.0,462.0,458.0,25.9,8.1,1.0 : 2.6 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-11 00:00:11.014536,NDS006,972.0,26.4,164.0,426.0,421.0,25.9,4.8,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-11 00:00:09.973711,NDS015,752.0,21.9,118.0,319.0,314.0,26.3,3.0,1.0 : 2.7 : 2.7,High,High,High,Invalid,Not Done Composting,,None
2025-02-11 00:00:00.263491,NDS011,1715.0,68.4,319.0,784.0,782.0,25.9,6.5,1.0 : 2.5 : 2.5,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-10 06:28:18.978329,NDS016,1269.0,41.9,226.0,569.0,565.0,26.7,5.9,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-10 06:28:16.851014,NDS011,1733.0,68.6,323.0,793.0,791.0,26.0,6.6,1.0 : 2.5 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-10 06:28:16.828436,NDS012,1225.0,44.6,217.0,548.0,544.0,26.0,8.0,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-10 06:28:15.817907,NDS005,1094.0,39.5,189.0,484.0,480.0,26.8,7.8,1.0 : 2.6 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-10 06:28:15.797101,NDS015,769.0,23.0,122.0,328.0,322.0,26.4,3.6,1.0 : 2.7 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-10 06:28:15.723871,NDS004,1380.0,42.0,249.0,622.0,619.0,26.4,8.2,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
2025-02-10 06:28:15.563837,NDS006,985.0,27.6,167.0,432.0,427.0,26.3,4.9,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-01 00:00:24.267901,NDS006,719.0,28.7,111.0,304.0,298.0,25.9,5.6,1.0 : 2.7 : 2.7,High,High,Low,Invalid,Not Done Composting,,None
2025-02-01 00:00:15.777843,NDS011,1879.0,92.5,353.0,863.0,862.0,25.8,6.8,1.0 : 2.4 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK,,None
2025-02-01 00:00:13.910639,NDS005,845.0,30.9,137.0,364.0,359.0,26.1,9.0,1.0 : 2.7 : 2.6,High,High,High,Invalid,Not Done Composting,,None
2025-02-01 00:00:09.420234,NDS012,1268.0,46.2,226.0,568.0,565.0,25.9,8.2,1.0 : 2.5 : 2.5,High,High,High,Invalid,Not Done Composting,,None
2025-02-01 00:00:07.570439,NDS004,1504.0,50.7,275.0,682.0,680.0,26.3,8.4,1.0 : 2.5 : 2.5,High,Optimal,Optimal,Invalid,Not Done Composting,,None
